event_id,pair_id,track_role,platform,event_type,event_date,source,severity,notes
EVT701,PAIR007,derived,spotify,release,04/25/2024,label_page,major,"""Release of official remix of Kiliye Kiliye on Spotify."""
EVT702,PAIR007,derived,youtube,release,09/05/2025,official_channel,major,"""Official video release of the remix on the music label Saregama's YT page."""
EVT703,PAIR007,derived,spotify,playlist_add_editorial,09/15/2025,chartmetric_log,moderate,"""Added to Spotify's Editorial Playlists for the first time"""
EVT704,PAIR007,derived,both,movie_release,08/25/2025,news_article,major,"""Lokah's official release date."
EVT801,PAIR008,derived,spotify,release,07/24/2022,label_page,major,"""Release of official remake of Devadoothar Paadi (2022) on Spotify."
EVT802,PAIR008,derived,youtube,release,07/24/2022,official_channel,major ,"""Official video release of the remake of Devadoothar Paadi in the movie Nna Thaan Case Kondu (2022) on the Millenium audios YT page."
EVT803,PAIR008,derived,spotify,playlist_add_editorial,08/08/2022,chartmetric_log,moderate,"""Added to Spotify's Editorial Playlists for the first time"
EVT901,PAIR009,derived,spotify,release,09/18/2022,label_page,major,"""Release of 'O Sajna' on Spotify."
EVT902,PAIR009,derived,youtube,release,09/18/2022,official_channel,major,"""Official music video upload on T-Series (Music Label) YT page."
EVT903,PAIR009,derived,both,press_controversy,09/25/2022,news_article,moderate,"Media reports that Falguni Phatak is trying to pursue legal action against T-Series for copyright infringement, citing that proper licensing was not obtained to sample the original track 'O Sajna'. However, she later clarifies that no legal action will be taken, since she doesn't have the rights to the original track."
EVT1001,PAIR010,derived,spotify,release,05/15/2018,label_page,major,"""Release of Tamil song 'Kalyana Vayaasu' on Spotify."
EVT1002,PAIR010,derived,youtube,release,05/15/2018,official_channel,major,"""Official music video upload on Zee Music South."
EVT1003,PAIR010,derived,both,press_controversy,05/21/2018,news_article,moderate,"Media reports that fans found similarities in beats/tune between 'Kalyana Vayasu' and Sanan's 'Don't Lie'; Anirudh responds, arguing that he did get the proper licensing to sample the track."
EVT1004,PAIR010,derived,both,takedown,12/20/2018,news_article,major,"Song was removed from multiple digital platforms including Spotify and YT, citing DRM/copyright issues."
EVT1005,PAIR010,derived,youtube,re_upload,02/15/2019,official_channel,major,Song re-released on Youtube under Abhay Jodpurkar's voice in December 2018.
EVT1006,PAIR010,derived,youtube,takedown,6/2/2021,official_channel,major,Composer Anirudh's version is removed from YouTube once again.
EVT1007,PAIR010,derived,spotify,takedown,4/6/2023,label_page,major,Composer Anirudh's version is removed from Spotify once again.
EVT1101,PAIR011,derived,spotify,release,10/25/2016,label_page,major,Release of Bulleya (Ae Dil Hai Mushkil) on Spotify.
EVT1102,PAIR011,derived,youtube,release,09/16/2016,official_channel,major,Official video release of Bulleya on through the Sony Music India YT page.
EVT1103,PAIR011,derived,spotify,playlist_add_editorial,05/21/2018,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT1104,PAIR011,derived,both,press_controversy,09/20/2016,news_article,moderate,"India Today report comes out with suspicion that Bulleya may be a rip-off, due to the similarity in the opening guitar riff between 'Last Resort' and the former; however, not much of a controversy takes place."
EVT1201,PAIR012,derived,spotify,release,07/16/2022,label_page,major,Release of Kesariya (Brahmastra) on Spotify.
EVT1202,PAIR012,derived,youtube,release,07/16/2022,official_channel,major,Official music video upload of Kesariya on the Sony Music India YT page.
EVT1203,PAIR012,derived,spotify,playlist_add_editorial,07/17/2022,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT1204,PAIR012,derived,both ,press_controversy,07/19/2022,news_article,moderate,News report of Kesariya sharing the same melody within it's chorus as Laree Chootee (2007).
EVT1301,PAIR013,derived,spotify,release,10/20/2024,label_page,major,Release of Sorgame Endralum (Greatest Of All Time) on Spotify.
EVT1302,PAIR013,derived,youtube,release,10/20/2024,official_channel,major,Official music video upload of Sorgrame Endralum to the Sony Music South YT page.
EVT1303,PAIR013,derived,spotify,playlist_add_editorial,10/23/2024,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT1401,PAIR014,derived,spotify,release,01/26/2024,label_page,major,Release of Thimiri Yezhuda (Lal Salaam) on Spotify.
EVT1402,PAIR014,derived,youtube,release,01/26/2024,official_channel,major,Official music video upload of Thimiri Yezhuda on the Sony Music Entertainment Ltd. YT page.
EVT1403,PAIR014,derived,both,press_controversy,01/29/2024,news_article,moderate,"AR Rahman writes in an article that he sought the permission of the families to use the late singer's voice, and accordingly compensated them through royalties for it."
EVT1404,PAIR014,derived,spotify,playlist_add_editorial,08/16/2024,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT1501,PAIR015,derived,spotify,release,09/24/2021,label_page,major,"Release of ""Dil Galti Kar Baitha Hai"" on Spotify. "
EVT1502,PAIR015,derived,youtube,release,09/24/2021,official_channel,major,Official music video upload of Dil Galti to the T-Series YT page. 
EVT1503,PAIR015,derived,spotify,playlist_add_editorial,10/04/2021,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT1601,PAIR016,derived,spotify,release,07/19/2021,label_page,major,Release of 'Jawab De' by Emiway Bantai on Spotify. 
EVT1701,PAIR017,derived,spotify,release,07/10/2019,label_page,major,Release of 'Paagal' by Badshah on Spotify. 
EVT1702,PAIR017,derived,youtube,release,07/10/2019,official_channel,major,Official music video upload of Paagal to the Sony Music India YT page. 
EVT1703,PAIR017,derived,spotify,playlist_add_editorial,07/29/2019,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT1704,PAIR017,derived,both,press_controversy,07/17/2019,news_article,moderate,News report of Badshah copying the hook line of Kamal Raja's 2017 song 'Trouble' for his song 'Paagal'.
EVT1801,PAIR018,derived,spotify,release,07/14/2022,label_page,major,Release of 'Mazhathullikal' (Vettam - 2004) cover on Spotify.
EVT1802,PAIR018,derived,youtube,release,07/10/2022,official_channel,major,Official music video upload of the cover on YouTube. 
EVT1901,PAIR019,derived,spotify,release,09/21/2022,label_page,major,Release of 'Mele Vaanile (Bicycle Thieves - 2013) cover on Spotify by Patrick Michael.
EVT1902,PAIR019,derived,youtube,release,09/23/2022,official_channel,major,Official music video upload of the cover on YouTube. 
EVT1903,PAIR019,derived,both,takedown,06/12/2025,chartmetric_log,major,Cover of Mele Vaanile is removed from both platforms (Spotify and YouTube).
EVT2001,PAIR020,derived,spotify,release,07/10/2023, label_page,major,Release of 'Mounam Chorum' cover on Spotify by Patrick Michael.
EVT2002,PAIR020,derived,youtube,release,12/02/2023,official_channel,major,Official music video upload of the cover on YouTube. 
EVT2101,PAIR021,derived,spotify,release,09/19/2025,label_page,major,Cover version of Saiyaara featuring AI-generated vocals of the late Kishore Kumar published on Spotify. 
EVT2102,PAIR021,derived,spotify,takedown,10/20/2025,chartmetric_log,major,Officially removed from Spotify due to issues with AI & copyright policy
EVT2201,PAIR022,derived,spotify,release,11/09/2022,label_page,major,Release of Baazigar (2022) on Spotify.
EVT2202,PAIR022,derived,youtube,release,11/09/2022,official_channel,major,Official music video upload of Baazigar on YouTube.
EVT2203,PAIR022,derived,spotify,playlist_add_editorial,11/7/2022,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT2301,PAIR023,derived,spotify,release,02/21/2020,label_page,major,Release of 'Aalayal' by Mahesh Raghavan on Spotify.
EVT2302,PAIR023,derived,spotify,takedown,01/12/2023,chartmetric_log,major,Song removed from Spotify.
EVT2401,PAIR024,derived,spotify,release,02/01/2025,label_page,major,Release of 'Badshah' on Spotify.
EVT2402,PAIR024,derived,youtube,release,02/01/2025,official_channel,major,Official music video upload of 'Badshah' on YouTube.
EVT2403,PAIR024,derived,spotify,playlist_add_editorial,02/05/2025,chartmetric_log,moderate,Added to Spotify's Editorial Playlists for the first time.
EVT2501,PAIR025,derived,spotify,release,12/13/2024,label_page,major,Release of 'Moon Comes Up' on Spotify.
EVT2502,PAIR025,derived,youtube,release,12/13/2024,official_channel,major,Official music video upload of 'Moon Comes Up' on YouTube.
EVT2503,PAIR025,derived,other,playlist_add_editorial,12/15/2024,chartmetric_log,moderate,Added to Apple's Editorial Playlists for the first time.
